joined,left,difference
1869-07-15,1869-07-09,6
1869-07-15,1869-09-03,50
1869-10-09,1869-11-28,50
1869-07-15,1869-09-03,50
1869-07-15,1869-09-03,50
1869-12-23,1869-12-31,8
1869-10-09,1869-10-21,12
1869-12-22,1869-12-31,9
1886-03-12,1886-06-30,110
1886-01-01,1886-06-30,180
1886-01-08,1886-06-30,173
1884-07-01,1884-10-17,108
1886-01-01,1886-02-23,53
1887-02-10,1887-06-04,114
1889-06-30,1889-12-14,167
1890-07-01,1890-10-10,101
1889-06-30,1889-12-14,167
1890-07-01,1891-01-06,189
1891-07-03,1891-12-31,181
1891-07-03,1891-12-31,181
1890-10-10,1891-01-06,88
1891-07-03,1891-12-31,181
1872-01-15,1872-07-11,178
1872-03-04,1872-07-13,131
1872-07-15,1872-12-31,169
1872-05-01,1872-07-08,68
1872-01-20,1872-02-28,39
1872-01-20,1872-02-28,39
1872-08-21,1872-12-31,132
1872-07-15,1872-08-19,35
1872-03-01,1872-07-08,129
1873-01-01,1873-06-30,180
1873-07-01,1873-12-31,183
1873-01-01,1873-06-30,180
1873-01-01,1873-06-30,180
1873-07-01,1873-12-31,183
1873-07-01,1873-12-31,183
1878-07-01,1878-12-31,183
1878-07-01,1878-12-31,183
1878-07-01,1878-12-31,183
1890-04-01,1890-05-21,50
1889-08-26,1890-05-21,268
1889-08-26,1890-05-21,268
1889-08-26,1890-05-30,277
1889-08-26,1890-05-21,268
1889-08-26,1890-05-21,268
1889-08-26,1890-05-21,268
1889-08-26,1890-03-30,216
1889-08-26,1890-05-21,268
1889-08-26,1890-05-21,268
1890-07-03,1891-01-20,201
1890-07-03,1891-01-20,201
1890-07-03,1890-09-28,87
1890-07-03,1891-01-20,201
1890-07-03,1891-01-20,201
1890-07-03,1891-01-20,201
1890-07-05,1891-01-20,199
1890-07-03,1890-07-05,2
1890-07-03,1891-01-20,201
1890-07-03,1891-01-20,201
1890-07-03,1891-01-20,201
1876-10-24,1877-09-21,332
1876-10-24,1877-07-11,260
1876-10-24,1877-07-11,260
1876-10-24,1877-08-13,293
1876-10-24,1876-10-25,1
1876-10-24,1877-05-18,206
1876-10-26,1877-07-11,258
1877-05-07,1878-01-19,257
1878-02-20,1878-04-23,62
1878-02-22,1878-04-02,39
1878-02-20,1878-05-14,83
1877-08-10,1878-01-19,162
1877-05-07,1878-01-19,257
1877-09-21,1878-01-19,120
1878-05-09,1879-03-01,296
1878-05-10,1879-03-01,295
1878-05-09,1879-03-01,296
1878-05-09,1879-03-01,296
1878-04-03,1878-04-16,13
1878-04-03,1878-04-16,13
1878-05-14,1878-07-02,49
1878-05-14,1878-07-02,49
1878-05-14,1878-07-02,49
1878-05-14,1878-07-02,49
1878-05-14,1878-07-02,49
1878-05-14,1878-07-02,49
1878-05-14,1878-07-02,49
1878-05-14,1878-07-02,49
1878-05-14,1878-07-02,49
1878-05-14,1878-07-02,49
1879-04-10,1880-02-19,315
1879-04-12,1880-02-21,315
1879-04-10,1879-05-06,26
1879-04-10,1879-05-06,26
1879-04-10,1879-05-06,26
1879-04-10,1879-05-06,26
1879-04-10,1879-05-06,26
1879-04-10,1879-05-06,26
1879-05-17,1880-02-20,279
1879-05-17,1880-01-26,254
1879-04-12,1880-02-20,314
1879-05-17,1880-02-20,279
1879-05-16,1880-01-26,255
1879-05-17,1880-02-20,279
1879-05-20,1880-02-09,265
1879-05-17,1880-01-20,248
1879-11-01,1880-02-20,111
1880-02-20,1880-03-15,24
1880-02-20,1880-03-15,24
1880-02-20,1880-03-15,24
1880-02-20,1880-03-15,24
1880-02-20,1880-03-15,24
1880-02-20,1880-03-15,24
1880-02-20,1880-03-15,24
1880-02-20,1880-03-15,24
1880-04-03,1880-05-04,31
1880-04-03,1880-08-24,143
1880-02-20,1880-03-15,24
1880-04-03,1880-08-24,143
1880-04-03,1880-08-24,143
1880-04-03,1880-08-24,143
1880-04-03,1880-08-24,143
1880-04-03,1880-08-24,143
1880-05-22,1880-08-24,94
1880-04-30,1880-08-24,116
1880-04-30,1880-08-24,116
1880-04-06,1880-08-24,140
1880-04-30,1880-08-24,116
1880-09-30,1881-03-13,164
1880-09-30,1881-03-13,164
1880-09-30,1881-03-13,164
1880-09-30,1881-03-13,164
1880-09-30,1881-03-30,181
1880-09-30,1881-03-13,164
1880-09-30,1881-03-13,164
1881-04-11,1881-09-20,162
1880-09-30,1881-03-13,164
1880-09-30,1881-03-13,164
1881-04-11,1881-09-20,162
1881-06-09,1881-09-20,103
1881-04-11,1881-05-31,50
1881-04-11,1881-09-20,162
1881-04-11,1881-09-20,162
1881-04-11,1881-09-20,162
1881-04-11,1881-09-20,162
1881-04-11,1881-09-20,162
1881-04-11,1881-09-20,162
1881-12-27,1882-05-27,151
1881-12-27,1882-05-27,151
1881-12-27,1882-05-27,151
1881-12-28,1882-05-27,150
1881-12-27,1882-06-01,156
1881-12-27,1882-06-01,156
1881-12-27,1882-05-27,151
1882-06-30,1883-02-26,241
1882-06-30,1883-02-26,241
1882-06-30,1883-02-26,241
1882-06-30,1883-03-26,269
1882-06-30,1883-02-26,241
1882-06-30,1883-02-26,241
1883-03-17,1883-03-28,11
1883-03-15,1883-03-28,13
1883-03-17,1883-03-26,9
1883-03-15,1883-03-26,11
1882-06-30,1883-02-26,241
1882-06-30,1883-02-26,241
1883-03-17,1883-03-26,9
1883-04-10,1883-11-02,206
1883-04-10,1883-11-02,206
1883-04-10,1883-11-02,206
1883-03-19,1883-03-26,7
1883-04-10,1883-11-02,206
1883-03-20,1883-03-26,6
1883-04-10,1883-11-02,206
1883-04-10,1883-11-02,206
1883-09-30,1883-11-02,33
1883-12-22,1884-07-15,206
1883-12-22,1884-08-11,233
1883-12-22,1884-07-15,206
1883-12-22,1884-08-11,233
1883-04-10,1883-11-02,206
1884-07-25,1884-08-11,17
1883-12-27,1884-07-15,201
1884-07-25,1884-08-11,17
1884-07-25,1884-08-11,17
